Name,Station,Time(norwegian mean time),Precipitation (24 h),Snow depth,Maximum air temperature (24 h),Mean air temperature (24 h),Minimum air temperature (24 h)
Ny-ålesund,SN99910,10.04.2022,0,59,-4.6,-7.2,-9.2
Ny-ålesund,SN99910,11.04.2022,0,59,-5.6,-8,-10.5
Ny-ålesund,SN99910,12.04.2022,0,59,-5.4,-6.9,-10.1
Ny-ålesund,SN99910,13.04.2022,1.1,60,-3.8,-7,-9.2
Ny-ålesund,SN99910,14.04.2022,0.9,60,-4.3,-6.1,-9.8
Ny-ålesund,SN99910,15.04.2022,1.1,63,0,-2.6,-5.5
Ny-ålesund,SN99910,16.04.2022,7.6,69,0.3,-3.5,-5.9
Ny-ålesund,SN99910,17.04.2022,3,68,-5.3,-7.5,-10.9
Ny-ålesund,SN99910,18.04.2022,0.7,68,-2.9,-7,-9.2
Ny-ålesund,SN99910,19.04.2022,0,68,-4.1,-6.5,-11.3
Ny-ålesund,SN99910,20.04.2022,0.1,68,-0.6,-1.8,-4.8
Ny-ålesund,SN99910,21.04.2022,0,68,2.3,-0.7,-5.7
Ny-ålesund,SN99910,22.04.2022,0.9,72,0.6,-5.8,-6.9
Ny-ålesund,SN99910,23.04.2022,0,70,-4.1,-7.7,-12.3
Ny-ålesund,SN99910,24.04.2022,0.3,71,-3,-12.3,-14.5
Ny-ålesund,SN99910,25.04.2022,0,71,-11,-14.5,-15.9
Ny-ålesund,SN99910,26.04.2022,0,69,-14.5,-16.4,-19.2
Ny-ålesund,SN99910,27.04.2022,2.7,72,-14.1,-16.4,-18.7
Ny-ålesund,SN99910,28.04.2022,0.1,70,-11.7,-13.5,-16.7
Ny-ålesund,SN99910,29.04.2022,0,70,-11.8,-12.9,-14.2
Ny-ålesund,SN99910,30.04.2022,0,69,-7.6,-10.9,-14.5
Ny-ålesund,SN99910,01.05.2022,0,69,-8.3,-10.2,-13.3
Ny-ålesund,SN99910,02.05.2022,0,69,-10.3,-11.3,-12.5
Ny-ålesund,SN99910,03.05.2022,0,69,-8.3,-10.1,-11.9
Ny-ålesund,SN99910,04.05.2022,0,69,-5.8,-7.6,-11.5
Ny-ålesund,SN99910,05.05.2022,0,69,-4.5,-5.6,-7.7
Ny-ålesund,SN99910,06.05.2022,0.8,70,-3.5,-5.1,-6
Ny-ålesund,SN99910,07.05.2022,0,69,-5,-9.6,-11.4
Ny-ålesund,SN99910,08.05.2022,1.5,68,-8.5,-9.7,-11.9
Ny-ålesund,SN99910,09.05.2022,3.6,68,-8,-9.8,-12.5
Ny-ålesund,SN99910,10.05.2022,0,68,-6.5,-7.2,-8.4
Ny-ålesund,SN99910,11.05.2022,0,67,-4,-6.7,-9.4
Ny-ålesund,SN99910,12.05.2022,0,67,-2.4,-5.4,-9.4
Ny-ålesund,SN99910,13.05.2022,0,67,-1.7,-4.2,-7.3
Ny-ålesund,SN99910,14.05.2022,0,67,0.7,-3.4,-7.7
Ny-ålesund,SN99910,15.05.2022,0,67,3.3,-2,-5.8
Ny-ålesund,SN99910,16.05.2022,0.1,67,0.4,-1.6,-2.4
Ny-ålesund,SN99910,17.05.2022,0.4,66,-0.6,-2.3,-3.8
Ny-ålesund,SN99910,18.05.2022,0,66,-0.9,-3.4,-5.8
Ny-ålesund,SN99910,19.05.2022,1.1,68,1.1,-1.9,-3.8
Ny-ålesund,SN99910,20.05.2022,0,67,0.6,-0.9,-3.7
Ny-ålesund,SN99910,21.05.2022,1.9,65,4,2.7,-0.6
Ny-ålesund,SN99910,22.05.2022,23.7,60,4.1,1.2,-0.7
Ny-ålesund,SN99910,23.05.2022,6.1,63,5.6,3.1,-0.8
Ny-ålesund,SN99910,24.05.2022,1.7,59,6.2,4.3,2.7
Ny-ålesund,SN99910,25.05.2022,0.6,54,5.3,3.6,2.3
Ny-ålesund,SN99910,26.05.2022,3.1,50,5.4,4.2,2.6
Ny-ålesund,SN99910,27.05.2022,0.1,46,8.9,5.7,2.7
Ny-ålesund,SN99910,28.05.2022,0,43,9.4,6.6,3.9
Ny-ålesund,SN99910,29.05.2022,0,33,10.2,6.8,3.5
Ny-ålesund,SN99910,30.05.2022,0,22,8.6,6.1,3.9
Ny-ålesund,SN99910,31.05.2022,0,10,8.2,5.4,3
Ny-ålesund,SN99910,01.06.2022,0,0,9.2,7.1,5.2
Ny-ålesund,SN99910,02.06.2022,0,0,9.1,5.4,4.5
Ny-ålesund,SN99910,03.06.2022,0,0,7.5,5.1,2.9
Ny-ålesund,SN99910,04.06.2022,0.5,0,8,5.2,3.6
Ny-ålesund,SN99910,05.06.2022,5,0,9.6,6.6,3.4
Ny-ålesund,SN99910,06.06.2022,0.1,0,9.1,6.7,4.3
Ny-ålesund,SN99910,07.06.2022,0,0,7.5,5.8,4.2
Ny-ålesund,SN99910,08.06.2022,0,0,7.2,5.8,4.6
Ny-ålesund,SN99910,09.06.2022,0,0,6.4,5.4,4.4
Ny-ålesund,SN99910,10.06.2022,0,0,5.3,3.8,3
Ny-ålesund,SN99910,11.06.2022,0,0,4,3.3,2.6
Ny-ålesund,SN99910,12.06.2022,0.2,0,4.7,3.8,2.5
Ny-ålesund,SN99910,13.06.2022,0,0,4.3,3.2,2.4
Ny-ålesund,SN99910,14.06.2022,0,0,4.5,3.4,2.6
Ny-ålesund,SN99910,15.06.2022,0,0,3.9,2.9,1.3
Ny-ålesund,SN99910,16.06.2022,0,0,5.8,4.6,3.4
Ny-ålesund,SN99910,17.06.2022,0.2,0,6.5,5.2,4.1
Ny-ålesund,SN99910,18.06.2022,0.1,0,7.1,5.5,4.1
Ny-ålesund,SN99910,19.06.2022,0.2,0,5.7,5,4.4
Ny-ålesund,SN99910,20.06.2022,0.1,0,6,5,4.3
Ny-ålesund,SN99910,21.06.2022,0,0,9.4,7,4.8
Ny-ålesund,SN99910,22.06.2022,0,0,8.5,5.9,5
Ny-ålesund,SN99910,23.06.2022,0,0,11,7.6,5.2
Ny-ålesund,SN99910,24.06.2022,0,0,10.2,7.6,5.8
Ny-ålesund,SN99910,25.06.2022,0,0,11,8.5,5.6
Ny-ålesund,SN99910,26.06.2022,0,0,8.7,7.1,6.3
Ny-ålesund,SN99910,27.06.2022,0,0,7.8,6.3,4.7
Ny-ålesund,SN99910,28.06.2022,0,0,11.9,7.9,5.7
Ny-ålesund,SN99910,29.06.2022,1.1,0,10.3,7.8,6.2
Ny-ålesund,SN99910,30.06.2022,6.6,0,8.8,6.7,5.1
Ny-ålesund,SN99910,01.07.2022,3,0,8.3,6.5,5.2
Ny-ålesund,SN99910,02.07.2022,1.2,0,8.7,7.1,5.9
Ny-ålesund,SN99910,03.07.2022,0.2,0,8.7,6.6,5.2
Ny-ålesund,SN99910,04.07.2022,0,0,8.9,6.4,5.5
Ny-ålesund,SN99910,05.07.2022,2.9,0,7.6,5.9,3.5
Ny-ålesund,SN99910,06.07.2022,0,0,8.9,7.5,6.2
Ny-ålesund,SN99910,07.07.2022,0,0,8.7,7.5,5.5
Ny-ålesund,SN99910,08.07.2022,0,0,9.1,6.3,3.9
Ny-ålesund,SN99910,09.07.2022,0,0,7.6,5.3,2.5
Ny-ålesund,SN99910,10.07.2022,0,0,8.2,6.2,4.5
Ny-ålesund,SN99910,11.07.2022,1.1,0,8.9,6.9,5.2
Ny-ålesund,SN99910,12.07.2022,8.9,0,9.8,8,5.8
Ny-ålesund,SN99910,13.07.2022,0.3,0,11.7,9.4,6.9
Ny-ålesund,SN99910,14.07.2022,0.6,0,12.2,9.5,7.1
Ny-ålesund,SN99910,15.07.2022,0,0,12.8,10.8,8.2
Ny-ålesund,SN99910,16.07.2022,0.1,0,16,12,8.9
Ny-ålesund,SN99910,17.07.2022,0,0,14.4,9.9,8.2
Ny-ålesund,SN99910,18.07.2022,0,0,15.1,10.9,7.3
Ny-ålesund,SN99910,19.07.2022,0,0,14,10.6,7.6
Ny-ålesund,SN99910,20.07.2022,0,0,11.6,7.2,6.1
Ny-ålesund,SN99910,21.07.2022,0,0,9,7.5,5.4
Ny-ålesund,SN99910,22.07.2022,0,0,10,7.9,5.7
Ny-ålesund,SN99910,23.07.2022,0.8,0,10.2,7.5,5.5
Ny-ålesund,SN99910,24.07.2022,0,0,8.4,5.8,4.9
Ny-ålesund,SN99910,25.07.2022,0,0,8.8,7,5.3
Ny-ålesund,SN99910,26.07.2022,0,0,8.7,7.1,5.3
Ny-ålesund,SN99910,27.07.2022,0,0,8.8,6.2,4.6
Ny-ålesund,SN99910,28.07.2022,0.1,0,5.8,4.6,4
Ny-ålesund,SN99910,29.07.2022,2.8,0,8.2,6.3,3.9
Ny-ålesund,SN99910,30.07.2022,3.9,0,9.5,8.2,5.8
Ny-ålesund,SN99910,31.07.2022,5.2,0,10.5,8.3,7.5
Ny-ålesund,SN99910,01.08.2022,0,0,8.9,7.2,5.5
Ny-ålesund,SN99910,02.08.2022,0.1,0,10.3,7.3,5.8
Ny-ålesund,SN99910,03.08.2022,2.6,0,9,6.7,5.7
Ny-ålesund,SN99910,04.08.2022,4.6,0,8,6.5,5.3
Ny-ålesund,SN99910,05.08.2022,0.1,0,8.8,6.8,5.3
Ny-ålesund,SN99910,06.08.2022,0.1,0,8.3,6.8,5.5
Ny-ålesund,SN99910,07.08.2022,1.6,0,8,6.2,5.2
Ny-ålesund,SN99910,08.08.2022,2.5,0,7.1,5.8,4.6
Ny-ålesund,SN99910,09.08.2022,2,0,7,5.6,4.5
Ny-ålesund,SN99910,10.08.2022,0,0,9.2,7.3,5.2
Ny-ålesund,SN99910,11.08.2022,0,0,9.2,7.4,5
Ny-ålesund,SN99910,12.08.2022,0,0,8.2,5.7,4.8
Ny-ålesund,SN99910,13.08.2022,0.2,0,5,4,3.6
Ny-ålesund,SN99910,14.08.2022,0,0,6.3,4.1,3.1
Ny-ålesund,SN99910,15.08.2022,0,0,5.8,4.6,3.1
Ny-ålesund,SN99910,16.08.2022,0.1,0,8,6.1,3
Ny-ålesund,SN99910,17.08.2022,0,0,7.8,6.3,5.3
Ny-ålesund,SN99910,18.08.2022,6.4,0,8,6.1,4.1
Ny-ålesund,SN99910,19.08.2022,16.1,0,6.3,5.1,4.2
Ny-ålesund,SN99910,20.08.2022,13.9,0,4.3,2.9,1.5
Ny-ålesund,SN99910,21.08.2022,0.1,0,5.4,3.6,0.8
Ny-ålesund,SN99910,22.08.2022,0,0,7.3,4.9,1.4
Ny-ålesund,SN99910,23.08.2022,0,0,7.6,5,3.6
Ny-ålesund,SN99910,24.08.2022,0.2,0,5,3.7,1.4
Ny-ålesund,SN99910,25.08.2022,7.1,0,5.3,3.2,2.2
Ny-ålesund,SN99910,26.08.2022,0.3,0,5.1,3.2,2.1
Ny-ålesund,SN99910,27.08.2022,0,0,4.4,2.7,0.8
Ny-ålesund,SN99910,28.08.2022,0,0,4.6,2.9,0.4
Ny-ålesund,SN99910,29.08.2022,0.3,0,4.4,2.9,2
Ny-ålesund,SN99910,30.08.2022,1.4,0,4.7,3.4,1.9
Ny-ålesund,SN99910,31.08.2022,0.1,0,4.9,3.5,1.5
Ny-ålesund,SN99910,01.09.2022,0,0,7.1,6,3.9
Ny-ålesund,SN99910,02.09.2022,0.1,0,9.1,7.5,6.2
Ny-ålesund,SN99910,03.09.2022,0,0,8.5,6.3,4.9
Ny-ålesund,SN99910,04.09.2022,0.2,0,7.3,4.9,3.3
Ny-ålesund,SN99910,05.09.2022,1.3,0,5,3.4,1.1
Ny-ålesund,SN99910,06.09.2022,0.1,0,5.5,3.9,2.9
Ny-ålesund,SN99910,07.09.2022,0,0,6.7,4.8,3
Ny-ålesund,SN99910,08.09.2022,0.1,0,5.7,3.4,2.2
Ny-ålesund,SN99910,09.09.2022,0,0,3.6,2.6,2.4
Ny-ålesund,SN99910,10.09.2022,17,1,3,1,-0.7
Ny-ålesund,SN99910,11.09.2022,2.2,1,2.2,1,-1.5
Ny-ålesund,SN99910,12.09.2022,2.2,0,2.1,0.3,-0.8
Ny-ålesund,SN99910,13.09.2022,2,0,3.4,2.1,-1.4
Ny-ålesund,SN99910,14.09.2022,0,0,2.5,0.7,-1.6
Ny-ålesund,SN99910,15.09.2022,0,0,1.7,0.8,-0.2
Ny-ålesund,SN99910,16.09.2022,1,0,0.8,-0.2,-0.9
Ny-ålesund,SN99910,17.09.2022,1.1,0,1.3,-0.2,-2.2
Ny-ålesund,SN99910,18.09.2022,0,0,0.7,-0.2,-1.2
Ny-ålesund,SN99910,19.09.2022,0,0,1.4,0.4,-1.6
Ny-ålesund,SN99910,20.09.2022,0,0,3.3,2.2,0.5
Ny-ålesund,SN99910,21.09.2022,0,0,3.2,2.1,0.1
Ny-ålesund,SN99910,22.09.2022,0,0,2.7,2.3,1.4
Ny-ålesund,SN99910,23.09.2022,0.2,0,7,5.5,2.2
Ny-ålesund,SN99910,24.09.2022,6.2,0,7.5,4.6,2.5
Ny-ålesund,SN99910,25.09.2022,5.3,0,6.7,4.9,2
Ny-ålesund,SN99910,26.09.2022,3.1,0,8.1,6.7,5.4
Ny-ålesund,SN99910,27.09.2022,0,0,8.2,5.5,4.4
Ny-ålesund,SN99910,28.09.2022,0,0,4.8,3.9,3.3
Ny-ålesund,SN99910,29.09.2022,0.4,0,5.1,4,3
Ny-ålesund,SN99910,30.09.2022,4.5,0,6.1,4.8,3.1
Ny-ålesund,SN99910,01.10.2022,3,0,4.7,2.6,1.9
Ny-ålesund,SN99910,02.10.2022,0,0,4,3.2,2.3
Ny-ålesund,SN99910,03.10.2022,0.1,0,4.8,2.3,1.6
Ny-ålesund,SN99910,04.10.2022,0.3,0,3.3,2.6,1.8
Ny-ålesund,SN99910,05.10.2022,0,0,4.6,3.5,1.6
Ny-ålesund,SN99910,06.10.2022,0,0,5.6,3.3,0.3
Ny-ålesund,SN99910,07.10.2022,0,0,6.5,4.7,2.9
Ny-ålesund,SN99910,08.10.2022,0,0,6.3,4.6,2.8
Ny-ålesund,SN99910,09.10.2022,0,0,5.2,3.3,1.5
Ny-ålesund,SN99910,10.10.2022,0,0,2.5,1.1,0
Ny-ålesund,SN99910,11.10.2022,0,0,2.7,1.8,0.3
Ny-ålesund,SN99910,12.10.2022,0,0,2.9,1.6,0.3
Ny-ålesund,SN99910,13.10.2022,0,0,2.5,0.1,-1.6
Ny-ålesund,SN99910,14.10.2022,0,0,-1.4,-5.5,-6.8
Ny-ålesund,SN99910,15.10.2022,1.4,1,-2.7,-4.5,-7.2
Ny-ålesund,SN99910,16.10.2022,0,0,-2,-3.3,-4.3
Ny-ålesund,SN99910,17.10.2022,1.2,2,-1.1,-3,-4.6
Ny-ålesund,SN99910,18.10.2022,1.4,5,2.1,-2.4,-4.8
Ny-ålesund,SN99910,19.10.2022,6.2,6,-3.7,-5.7,-7.9
Ny-ålesund,SN99910,20.10.2022,3.9,7,-2.4,-5,-8.1
Ny-ålesund,SN99910,21.10.2022,0,7,-4.7,-5.8,-7.4
Ny-ålesund,SN99910,22.10.2022,0,7,-4.8,-6.8,-8.5
Ny-ålesund,SN99910,23.10.2022,0,7,-3.9,-6.2,-10.3
Ny-ålesund,SN99910,24.10.2022,5.6,16,-4.4,-6.5,-7
Ny-ålesund,SN99910,25.10.2022,3.5,17,-5.9,-8.7,-12.5
Ny-ålesund,SN99910,26.10.2022,0,17,-7.3,-9.1,-11
Ny-ålesund,SN99910,27.10.2022,0,10,0.5,-3.8,-10.1
Ny-ålesund,SN99910,28.10.2022,3.2,10,0.4,-4.6,-6.6
Ny-ålesund,SN99910,29.10.2022,1.5,10,-4.3,-5.1,-6.7
Ny-ålesund,SN99910,30.10.2022,1.9,11,-0.9,-3.5,-7.7
Ny-ålesund,SN99910,31.10.2022,3.6,17,-0.7,-2.3,-3.6
